index,rgb_image,depth_image,lidar_csv,latitude,longitude,odom_pos_x,odom_pos_y,odom_pos_z,odom_orient_x,odom_orient_y,odom_orient_z,odom_orient_w,master_topic
1268,rgb/rgb_01268.png,depth/depth_01268.png,lidar/lidar_01268.csv,53.26802361794685,-0.5245576975313662,68.84158537653877,67.10823677661845,0.0,0.0,0.0,-0.5937977906205855,0.8046143075126811,/gps/filtered
1269,rgb/rgb_01269.png,depth/depth_01269.png,lidar/lidar_01269.csv,53.26802419787146,-0.524557780838947,68.82345051102193,67.16832494301214,0.0,0.0,0.0,-0.6022904985152612,0.7982769916502905,/gps/filtered
1270,rgb/rgb_01270.png,depth/depth_01270.png,lidar/lidar_01270.csv,53.2680250105539,-0.5245593946772695,68.78944800059604,67.29155045534496,0.0,0.0,0.0,-0.6062121108031636,0.7953030093716311,/gps/filtered
1271,rgb/rgb_01271.png,depth/depth_01271.png,lidar/lidar_01271.csv,53.26802545919631,-0.524559561450689,68.77270231054058,67.35408888265206,0.0,0.0,0.0,-0.6072447718272209,0.7945148123782881,/gps/filtered
1272,rgb/rgb_01272.png,depth/depth_01272.png,lidar/lidar_01272.csv,53.268027097474416,-0.5245600865213169,68.72271366366022,67.54118504320648,0.0,0.0,0.0,-0.6097707502708963,0.7925778397823574,/gps/filtered
1273,rgb/rgb_01273.png,depth/depth_01273.png,lidar/lidar_01273.csv,53.268028744336654,-0.524560753518704,68.67398704090941,67.72889486618561,0.0,0.0,0.0,-0.6120029234877644,0.7908554998496435,/gps/filtered
1274,rgb/rgb_01274.png,depth/depth_01274.png,lidar/lidar_01274.csv,53.26803033249837,-0.524561039543038,68.62559691553336,67.91756373146976,0.0,0.0,0.0,-0.6131976510828987,0.7899295162901661,/gps/filtered
1275,rgb/rgb_01275.png,depth/depth_01275.png,lidar/lidar_01275.csv,53.26803117075069,-0.5245600000840445,68.6097414026637,67.98012715497411,0.0,0.0,0.0,-0.6135692937967973,0.7896408814832852,/gps/filtered
1276,rgb/rgb_01276.png,depth/depth_01276.png,lidar/lidar_01276.csv,53.26803171914285,-0.5245599490702899,68.593268950132,68.0440048446815,0.0,0.0,0.0,-0.6119475157203985,0.790898374004924,/gps/filtered
1277,rgb/rgb_01277.png,depth/depth_01277.png,lidar/lidar_01277.csv,53.268033868301046,-0.5245605791591519,68.52928056782567,68.29652013219548,0.0,0.0,0.0,-0.6150840933504526,0.7884615133963431,/gps/filtered
